,movieId,mean,count,title
0,1,3.9209302325581397,215,Toy Story (1995)
1,2,3.4318181818181817,110,Jumanji (1995)
2,3,3.2596153846153846,52,Grumpier Old Men (1995)
3,4,2.357142857142857,7,Waiting to Exhale (1995)
4,5,3.0714285714285716,49,Father of the Bride Part II (1995)
5,6,3.946078431372549,102,Heat (1995)
6,7,3.185185185185185,54,Sabrina (1995)
7,8,2.875,8,Tom and Huck (1995)
8,9,3.125,16,Sudden Death (1995)
9,10,3.496212121212121,132,GoldenEye (1995)
10,11,3.6714285714285713,70,"American President, The (1995)"
11,12,2.4210526315789473,19,Dracula: Dead and Loving It (1995)
12,13,3.125,8,Balto (1995)
13,14,3.8333333333333335,18,Nixon (1995)
14,15,3.0,13,Cutthroat Island (1995)
15,16,3.926829268292683,82,Casino (1995)
16,17,3.7761194029850746,67,Sense and Sensibility (1995)
17,18,3.7,20,Four Rooms (1995)
18,19,2.727272727272727,88,Ace Ventura: When Nature Calls (1995)
19,20,2.5,15,Money Train (1995)
20,21,3.49438202247191,89,Get Shorty (1995)
21,22,3.2222222222222223,36,Copycat (1995)
22,23,3.125,16,Assassins (1995)
23,24,3.125,28,Powder (1995)
24,25,3.625,76,Leaving Las Vegas (1995)
25,26,3.5,13,Othello (1995)
26,27,3.3333333333333335,9,Now and Then (1995)
27,28,4.2272727272727275,11,Persuasion (1995)
28,29,4.0131578947368425,38,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
29,30,3.0,3,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
30,31,3.1842105263157894,38,Dangerous Minds (1995)
31,32,3.983050847457627,177,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
32,34,3.65234375,128,Babe (1995)
33,36,3.8358208955223883,67,Dead Man Walking (1995)
34,38,2.125,4,It Takes Two (1995)
35,39,3.293269230769231,104,Clueless (1995)
36,40,4.25,2,"Cry, the Beloved Country (1995)"
37,41,3.7,15,Richard III (1995)
38,42,3.0,7,Dead Presidents (1995)
39,43,3.1875,8,Restoration (1995)
40,44,2.5434782608695654,46,Mortal Kombat (1995)
41,45,3.3125,32,To Die For (1995)
42,46,3.066666666666667,15,How to Make an American Quilt (1995)
43,47,3.9753694581280787,203,Seven (a.k.a. Se7en) (1995)
44,48,3.1470588235294117,68,Pocahontas (1995)
45,49,3.0,1,When Night Is Falling (1995)
46,50,4.237745098039215,204,"Usual Suspects, The (1995)"
47,52,3.4642857142857144,28,Mighty Aphrodite (1995)
48,53,5.0,2,Lamerica (1994)
49,54,2.3333333333333335,3,"Big Green, The (1995)"
50,55,4.0,1,Georgia (1995)
51,57,3.0625,8,Home for the Holidays (1995)
52,58,4.027027027027027,37,"Postman, The (Postino, Il) (1994)"
53,60,3.235294117647059,34,"Indian in the Cupboard, The (1995)"
54,61,3.75,6,Eye for an Eye (1996)
55,62,3.70625,80,Mr. Holland's Opus (1995)
56,63,2.7142857142857144,7,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
57,64,2.2,5,Two if by Sea (1996)
58,65,2.532258064516129,31,Bio-Dome (1996)
59,66,2.5,9,Lawnmower Man 2: Beyond Cyberspace (1996)
60,68,3.4,5,French Twist (Gazon maudit) (1995)
61,69,3.775,20,Friday (1995)
62,70,3.5090909090909093,55,From Dusk Till Dawn (1996)
63,71,1.7,5,Fair Game (1995)
64,72,3.2142857142857144,7,Kicking and Screaming (1995)
65,73,3.4615384615384617,13,"Misérables, Les (1995)"
66,74,4.0,8,Bed of Roses (1996)
67,75,2.2,5,Big Bully (1996)
68,76,3.4,15,Screamers (1995)
69,77,4.0,1,Nico Icon (1995)
70,78,3.3333333333333335,3,"Crossing Guard, The (1995)"
71,79,2.764705882352941,17,"Juror, The (1996)"
72,80,4.0,2,"White Balloon, The (Badkonake sefid) (1995)"
73,81,3.107142857142857,14,Things to Do in Denver When You're Dead (1995)
74,82,3.875,8,Antonia's Line (Antonia) (1995)
75,83,3.0,1,Once Upon a Time... When We Were Colored (1995)
76,85,3.857142857142857,7,Angels and Insects (1995)
77,86,3.966666666666667,15,White Squall (1996)
78,87,2.5,7,Dunston Checks In (1996)
79,88,3.15625,16,Black Sheep (1996)
80,89,3.25,10,Nick of Time (1995)
81,92,2.625,8,Mary Reilly (1996)
82,93,2.8333333333333335,9,Vampire in Brooklyn (1995)
83,94,3.95,10,Beautiful Girls (1996)
84,95,3.0238095238095237,84,Broken Arrow (1996)
85,96,3.5,1,In the Bleak Midwinter (1995)
86,97,3.9,10,"Hate (Haine, La) (1995)"
87,99,5.0,2,Heidi Fleiss: Hollywood Madam (1995)
88,100,2.7857142857142856,14,City Hall (1996)
89,101,3.782608695652174,23,Bottle Rocket (1996)
90,102,2.4,5,Mr. Wrong (1996)
91,103,3.0,3,Unforgettable (1996)
92,104,3.4393939393939394,99,Happy Gilmore (1996)
93,105,3.282608695652174,23,"Bridges of Madison County, The (1995)"
94,106,4.0,1,Nobody Loves Me (Keiner liebt mich) (1994)
95,107,3.326923076923077,26,Muppet Treasure Island (1996)
96,108,4.0,1,Catwalk (1996)
97,110,4.031645569620253,237,Braveheart (1995)
98,111,4.105769230769231,104,Taxi Driver (1976)
99,112,3.5434782608695654,46,Rumble in the Bronx (Hont faan kui) (1995)
100,113,3.3333333333333335,3,Before and After (1996)
101,116,3.9,5,Anne Frank Remembered (1995)
102,117,3.0,1,"Young Poisoner's Handbook, The (1995)"
103,118,2.5,2,If Lucy Fell (1996)
104,119,3.0,2,"Steal Big, Steal Little (1995)"
105,121,4.0,2,"Boys of St. Vincent, The (1992)"
106,122,2.65625,16,Boomerang (1992)
107,123,4.375,4,Chungking Express (Chung Hing sam lam) (1994)
108,125,3.5833333333333335,12,Flirting With Disaster (1996)
109,126,2.0,7,"NeverEnding Story III, The (1994)"
110,128,3.0,1,Jupiter's Wife (1994)
111,129,2.0,1,Pie in the Sky (1996)
112,132,2.8333333333333335,6,Jade (1995)
113,135,2.9516129032258065,31,Down Periscope (1996)
114,137,3.0,1,Man of the Year (1995)
115,140,3.5,16,Up Close and Personal (1996)
116,141,3.494186046511628,86,"Birdcage, The (1996)"
117,144,3.3333333333333335,12,"Brothers McMullen, The (1995)"
118,145,3.2450980392156863,51,Bad Boys (1995)
119,146,3.3333333333333335,3,"Amazing Panda Adventure, The (1995)"
120,147,3.466666666666667,15,"Basketball Diaries, The (1995)"
121,148,5.0,1,"Awfully Big Adventure, An (1995)"
122,149,2.0,1,Amateur (1994)
123,150,3.845771144278607,201,Apollo 13 (1995)
124,151,3.5454545454545454,44,Rob Roy (1995)
125,152,1.5,2,"Addiction, The (1995)"
126,153,2.9160583941605838,137,Batman Forever (1995)
127,154,3.875,12,Beauty of the Day (Belle de jour) (1967)
128,155,2.4166666666666665,6,Beyond Rangoon (1995)
129,156,3.3333333333333335,3,Blue in the Face (1995)
130,157,2.8636363636363638,11,Canadian Bacon (1995)
131,158,2.806451612903226,62,Casper (1995)
132,159,2.892857142857143,14,Clockers (1995)
133,160,2.8771929824561404,57,Congo (1995)
134,161,3.6359223300970873,103,Crimson Tide (1995)
135,162,4.205882352941177,17,Crumb (1994)
136,163,3.5606060606060606,66,Desperado (1995)
137,164,3.3214285714285716,14,Devil in a Blue Dress (1995)
138,165,3.5555555555555554,144,Die Hard: With a Vengeance (1995)
139,166,2.8333333333333335,3,"Doom Generation, The (1995)"
140,168,3.0833333333333335,54,First Knight (1995)
141,169,2.4,10,Free Willy 2: The Adventure Home (1995)
142,170,3.2285714285714286,35,Hackers (1995)
143,171,3.8333333333333335,6,Jeffrey (1995)
144,172,2.6792452830188678,53,Johnny Mnemonic (1995)
145,173,2.6693548387096775,62,Judge Dredd (1995)
